artista,resumen,popularidad,reproducciones,similares
Blaque,"Blaque is an American girl group that charted from 1999 to 2004. Their self-titled debut album Blaque sold more than 1 million copies and was certified Platinum. The group's debut included the platinum-selling lead single ""808"", a second single, ""I Do"" and the international pop hit ""Bring It All to Me"". In 1999, Billboard named Blaque the 4th Best New Artist of the year, with ""Bring It All to Me"" landing at number 30 on the 2000 Year End Chart. In 2002 and 2003 <a href=""https://www.last.fm/music/Blaque"">Read more on Last.fm</a>",170710,1018433,"['3LW', 'Mýa', 'Monica', 'TLC', '702']"
The Killers,"There are multiple artists using this name:

1. The Killers are an American  alternative rock band from Las Vegas, Nevada, formed in 2001. 
They got the name from the fictional band The Killers in the video for New Order's song Crystal. 
As of 2021, the band has released six studio albums, which have sold 28 million records worldwide. 

The Early Years
Initially, The Killers played at large clubs in Las Vegas. With the band's line-up stable and their repertoire of songs expanding <a href=""https://www.last.fm/music/The+Killers"">Read more on Last.fm</a>",6030230,295829625,"['Brandon Flowers', 'Kings of Leon', 'Snow Patrol', 'Kaiser Chiefs', 'Franz Ferdinand']"
Árbol,"La zona oeste del gran Buenos Aires. Conformada por Matías ""Chávez"" Méndez en batería, Eduardo en violín, traversa y voz, Hernán en guitarra y Patricio Pizarro en bajo. Ocasionalmente contaban con un percusionista invitado, que tiempo después pasaría a formar parte de la banda en forma estable: Pablito. El grupo empezó a rodar por bares, pubs, escuelas, festivales y ferias itinerantes de la zona. El boca a boca fue creciendo, y las presentaciones <a href=""https://www.last.fm/music/+noredirect/%C3%81rbol"">Read more on Last.fm</a>",49846,794939,"['Turf', 'La Renga', 'Bersuit Vergarabat', 'Attaque 77', 'Intoxicados']"
Hocus Pocus,"Various artists named Hocus Pocus.

1. - Hocus Pocus is a Hip Hop band from Nantes, France. Formed in 1995, their music is a mix of all hip-hop true elements with live instrumentation influenced by jazz, soul & funk music. 
This band gives positive vibrations, stepping outside the French rap box. The alchemy between the intruments and the main rapper/DJ/band leader 20Syl, results in a appreciable coherence.
The lineup includes muscians Matthieu Lelièvre (on fender rhodes) Hevré Gogard (on bass) <a href=""https://www.last.fm/music/Hocus+Pocus"">Read more on Last.fm</a>",140667,3297492,"['Beat Assailant', 'Suprême NTM', 'AllttA', '20syl', 'IAM']"
OOMPH!,"OOMPH! is an industrial rock band from the neue deutsche härte scene.

OOMPH! consists of:
Robert Flux (guitar, mixing)
Andreas Crap (lead guitar, keyboards)
Leo (live drums)
Hagen (live bass)
Der Schulz (lead vocalist)

The band was formed in 1989 in Wolfsburg, Germany. They are one of the founders of the fusion of hard metal music and industrial sounds known as Neue Deutsche Härte. 

OOMPH! owed a lot to Nitzer Ebb in their self-titled debut (1992). <a href=""https://www.last.fm/music/Oomph%21"">Read more on Last.fm</a>",468839,25763905,[]
Banda Fiesta," <a href=""https://www.last.fm/music/Banda+Fiesta"">Read more on Last.fm</a>",954,5094,"['Guayaba Orquesta', 'Taxi Orquesta', 'Hernán Hernández', 'Los 50 de Joselito', 'LOS DOTORES DE LA CARRANGA']"
Fat Joe,"Fat Joe (born Joseph Cartagena on August 19, 1970) is a American rapper of Puerto Rican and Cuban heritage. Born and brought up in the Bronx, Joe was popular in the large underground hip hop scene during the early and mid-1990s. During this period, Joe was affiliated with KRS-One — there are pictures online at KRS-One's Temple of Hiphop site showing the pair drawing graffiti (""bombing"") together. He is also the most widely known member of the D. <a href=""https://www.last.fm/music/Fat+Joe"">Read more on Last.fm</a>",1217598,9285734,"['Ja Rule', 'Fabolous', 'Big Punisher', 'Terror Squad', 'N.O.R.E.']"
Juan Fernando Velasco,"Juan Fernando Velasco nació en Quito, Ecuador. Nunca pensó en ser músico, más bien prefería imaginarse economista, como su padre. De hecho, hizo cuatro semestres en Economía, pero la cosa definitivamente no iba por ahí. La música ya lo había atenazado desde que un compañero del colegio le propuso ser parte de la banda de rock que tenía junto con sus hermanos. La banda se llamaba Tercer Mundo. Ese fue el comienzo.

Diez años de giras enloquecidas <a href=""https://www.last.fm/music/Juan+Fernando+Velasco"">Read more on Last.fm</a>",35146,312403,"['Bacilos', 'Tranzas', 'Franco De Vita', 'Alex Ubago', 'Ricardo Arjona']"
Jagged Edge,"1)  Jagged Edge is an American R&B singing group that were originally signed through Jermaine Dupri's So So Def Records to Columbia Records. The group is made up of twin lead singers Brian Casey (nicknamed Brasco) and Brandon Casey (Case Dinero) (both born October 13, 1975), Kyle Norman (Quick), and Richard Wingo (Wingo).

Wingo was a late addition to the group, added after Kandi Burruss of Xscape recommended he be added. Kandi was also the one who brought the group to the attention of Dupri. <a href=""https://www.last.fm/music/Jagged+Edge"">Read more on Last.fm</a>",677048,4997284,"['112', 'Dru Hill', 'Avant', 'Donell Jones', 'Joe']"
"Earth, Wind & Fire","Earth, Wind & Fire (EW&F or EWF) is an American band whose music spans the genres of jazz, R&B, soul, funk, disco, pop, Latin, and Afro-pop. They are among the best-selling bands of all time, with sales of over 90 million records worldwide. The band was formed in Chicago by Maurice White in 1969, growing out of the Salty Peppers. Prominent members have included Verdine White, Philip Bailey, Ralph Johnson, Larry Dunn, Al McKay, Roland Bautista, Robert Brookins, Sonny Emory, Fred Ravel, Ronnie Laws, Sheldon Reynolds, and Andrew Woolfolk. <a href=""https://www.last.fm/music/Earth,+Wind+&+Fire"">Read more on Last.fm</a>",2556534,39624128,"['Kool & the Gang', 'Brothers Johnson', 'Ohio Players', 'Chic', 'Redbone']"
Semisonic,"Semisonic is a power pop/alternative rock band formed in Minneapolis, Minnesota, U.S.A. Known for their signature song ""Closing Time"", the band members are Dan Wilson (guitar/vocals), John Munson (bass), and Jacob Slichter (drums). Although on hiatus since the early-00s, sporadic reunions have occurred.

After the breakup of Trip Shakespeare, Dan Wilson and John Munson joined up with drummer Jacob ""Jake"" Slichter to form Semisonic in 1995. An E.P. <a href=""https://www.last.fm/music/Semisonic"">Read more on Last.fm</a>",1167118,10180625,"['Better Than Ezra', 'Gin Blossoms', 'The Verve Pipe', 'The Wallflowers', 'Fastball']"
UVERworld,"UVERworld (ウーバーワールド) is a Japanese rock band known for their mixture of musical genres such as hard rock, electronic, and beat-boxing. UVERchan, the band's mascot, is a fictional bear-bat like character, which appears on several of their covers.

The five-member band known as UVERworld first formed in 2003, and were known as Sound Goku Road(sound極road) or, more popularly, ""Sangoku Road."" The band originally consisted of seven members, and released a demo CD which ended up selling 3,000 copies. <a href=""https://www.last.fm/music/UVERworld"">Read more on Last.fm</a>",390993,15034170,"['Flow', 'Aqua Timez', ""ROOKiEZ is PUNK'D"", 'abingdon boys school', 'NICO Touches the Walls']"
Bad Copy,"Bad Copy is a popular hip-hop group from Belgrade, Serbia known for its humorous lyrics and catchy slang. The members are Ajs Nigrutin (born Vladan Aksentijević), Timjah (born Rašid Kurtanović) and Wikluh Sky (born Đorđe Miljenović). They have released several albums as a group and as solo artists and helped the popularisation of Hip hop music in Serbia in the new millennium.

The group started off as a duo, with the original members being Ajs Nigrutin and Miki Boj. <a href=""https://www.last.fm/music/Bad+Copy"">Read more on Last.fm</a>",12543,411343,"['Ajs Nigrutin', 'Dječaci', 'Beogradski Sindikat', 'Prti Bee Gee', 'Edo Maajka']"
Disiz,"Disiz (anciennement Disiz la Peste), de son vrai nom Serigne M'Baye Gueye, est un rappeur et acteur français originaire d'Amiens, France. 
Membre du groupe Rimeurs à Gages et dans le rap depuis 1995, il est repéré en par Joey Starr (NTM) qui lui offre la possibilité de participer à la BOF de Taxi 2.  Disiz sort alors ""C'que les gens veulent entendre"", son premier maxi: il devient la révélation du rap français de l'année 2000. Son premier album, ""Le Poisson rouge"",  le classe parmi les figures de proue du nouveau rap français. <a href=""https://www.last.fm/music/Disiz"">Read more on Last.fm</a>",69641,3531319,"['Luidji', 'Dinos', 'Nekfeu', 'Jazzy Bazz', 'Laylow']"
The Disco Boys,"The Disco Boys are a German DJ duo, based in Hamburg. Their type of music is called ""disco house"" but sometimes it goes as ""french house"". The Disco Boys consist of Raphael Krickow and Gordon Hollenga. Their incomparable mixture of disco classics and old samples with today's modern house, gave them a large fan base in the early century, far beyond the borders of Hamburg. They are performing frequently as DJs on clubs all over the world, but mostly in Germany. <a href=""https://www.last.fm/music/The+Disco+Boys"">Read more on Last.fm</a>",229327,1575348,"['Norman Doray', 'Sean Finn', '2-4 Grooves', 'NALYRO', 'Mike Candys']"
Eric IQ & the Prophets Empire,"No one can deny that Hip Hop music is a force to be recon with worldwide. It's a media and economical powerhouse that earn billions of dollars every year and it has a voice that's heard from Harlem to Hollywood and from the streets of New York to the streets of New Deli. 
Hip Hop in general is making it happen and Eric IQ Gray, is making it happen for himself and his record label Angel Youth Enterprises. Eric IQ is not new to the Hip Hop game. He started his first record label, North Side Productions Inc. <a href=""https://www.last.fm/music/Eric+IQ+&+the+Prophets+Empire"">Read more on Last.fm</a>",8,19,[]
Falsalarma,"Falsalarma is a spanish Hip Hop ensemble from Sabadell, Barcelona. consisting of: DJ Neas (DJ), Dycache Santiago (producer), and the brothers El Santo (David Navarro Romero, Mc) and Titó (Angel Navarro Romero, Mc).

Santo and Titó made themselves known on the spanish scene thanks to a partnership in the studio album by Frank-T ""Frankattack"" in a track entitled ""Rap serio"". Previously, they had already recorded a demo entitled ""La Revolución del Sonido"" (""The Revolution of Sound""). <a href=""https://www.last.fm/music/Falsalarma"">Read more on Last.fm</a>",22709,400157,"['Xhelazz', 'Arma Blanca', 'Juaninacka', 'Shotta', 'Tote King']"
7 Notas 7 Colores,"Spanish hip-hop act 7 Notas 7 Colores was formed in Barcelona in 1993 by producer Dive Dibosso and MC Mucho Muchacho (born Oliver Gallego). Known by their twisting lyrics and powerful performances, this rap act founded their own label, La Madre, releasing a few singles and 7 Notas 7 Colores' debut album, called Hecho, Es Simple. After being discovered by producer Juan Brujo in 1998, Dive Dibosso and MC Mucho Muchacho signed up to Kool Arrow, issuing their album in the U. <a href=""https://www.last.fm/music/7+Notas+7+Colores"">Read more on Last.fm</a>",31396,416454,"['Sólo Los Solo', 'Mucho Muchacho', 'Chacho Brodas', 'Tremendo', 'Dogma Crew']"
The Dresden Dolls,"The Dresden Dolls are an American musical duo from Boston, Massachusetts. Formed in 2001, the group consists of Amanda Palmer (vocals, piano, ukulele, toy piano, harmonica) and Brian Viglione (drums, percussion, guitar, vocals). 

They describe their heavily art-damaged and theatrical style as ""Brechtian punk cabaret"", a phrase invented by Palmer because she was ""terrified"" that the press would invent a name that ""would involve the word 'gothic',"" <a href=""https://www.last.fm/music/The+Dresden+Dolls"">Read more on Last.fm</a>",885663,26037766,"['Amanda Palmer', 'Amanda Palmer & The Grand Theft Orchestra', 'Evelyn Evelyn', 'Will Wood and the Tapeworms', 'Will Wood']"
O-Zone,"O-Zone was a pop group made up of Dan Bălan, Radu Sârbu (aka RadU), and Arsenie Toderaş (aka Arsenium). Originally from Moldova, the band launched in Romania. 

O-Zone first formed in 1998 by Bălan and Petru Jelihovschi, however Jelihovschi had not intended to make music his career and left after their first album, 1999's Dar, Unde Eşti ....

O-Zone is famous for the single Dragostea Din Tei, a notable summer hit which reached #1 in the singles charts of many countries during 2003 and 2004, and Number 3 in the United Kingdom. <a href=""https://www.last.fm/music/O-Zone"">Read more on Last.fm</a>",678527,5056454,"['A Touch of Class', 'Akcent', 'Eiffel 65', 'Basshunter', 'Dan Balan']"
Warren Hill,"Saxophonist Warren Hill was born in Toronto; one of five children, he began playing guitar at the age of eight, and by his teens was fronting a local rock group. 
Originally he turned to the sax only to play in his school band, making the instrument his total focus following his introduction to jazz during a summer program at the Eastman School in Rochester, NY.
Influenced by David Sanborn, Hill played each weekend in a local combo while studying physics at the University of Toronto, eventually dropping out to pursue music full time.  <a href=""https://www.last.fm/music/Warren+Hill"">Read more on Last.fm</a>",63567,457535,"['Walter Beasley', 'Richard Elliot', 'Norman Brown', 'Paul Taylor', 'Steve Cole']"
Michelle Simonal," <a href=""https://www.last.fm/music/Michelle+Simonal"">Read more on Last.fm</a>",78895,414814,"['Amazonics', 'Sarah Menescal', 'Urban Love', 'Groove Da Praia', 'Eve St. Jones']"
El Barrio," <a href=""https://www.last.fm/music/El+Barrio"">Read more on Last.fm</a>",41597,771772,"['El Arrebato', 'Fondo Flamenco', 'Antonio Orozco', 'Niña Pastori', 'Estopa']"
Kudai,"There are at least two bands under the name ""Kudai"", a chilean pop group and a spanish industrial/trash metal act.

Kudai is a Chilean pop rock group founded in Santiago, Chile. Its original members were Tomás Cañas, Pablo Holman, Nicole Natalino and Bárbara Sepúlveda. In 2006 Nicole Natalino left the group citing personal reasons, and was replaced by Ecuadorian Gabriela Villalba. The band's name comes from the Mapudungun word küdaw, meaning ""work. <a href=""https://www.last.fm/music/Kudai"">Read more on Last.fm</a>",143700,2105815,"['Belinda', 'Alex Ubago', 'Motel', 'Nikki Clan', 'Sandoval']"
Dan Cray Trio,"The Dan Cray Trio is unique in that it relies on a collaborative effort rather than the singular vision that is more typically found in a piano trio.  This in turn has allowed the group to rise above the pick-up band mentality that has come to dominate the jazz landscape.  Because each musician is equally invested in the development of the music, the Trio is able to match the intensity and clarity of purpose that define the best jazz artists.  Their <a href=""https://www.last.fm/music/Dan+Cray+Trio"">Read more on Last.fm</a>",57286,150838,"['Marcus Gilmore', 'Xavier Davis', 'Anthony Wonsey Trio', 'Tommy Flanagan, Ron Carter, Tony Williams', 'Martin Wind']"
Global Deejays,"Global Deejays is an Austrian dance trio composed of DJ Taylor (Konrad Schreyvogl), DJ Mikkel (Mikkel Christensen) and FLOw (Florian Schreyvogl). Their first three singles were big hits in Europe.

They remixed ""The Sound Of San Francisco"", A Mix of ""Stars On 45"" along with several other songs.

They're very popular, and have a similar sound with other Djs like Benny Benassi, Global Playboys, Vinylshakerz, Royal Gigolos and the Disco Kings.

The Global <a href=""https://www.last.fm/music/Global+Deejays"">Read more on Last.fm</a>",368898,2499511,"['Royal Gigolos', 'Benassi Bros.', 'Ian Carey', 'Pakito', 'Alex Gaudino']"
Roman El Original," <a href=""https://www.last.fm/music/+noredirect/Roman+El+Original"">Read more on Last.fm</a>",13486,103342,[]
Britney Spears,"Britney Jean Spears  (born December 2, 1981 in McComb, MS) is an American singer, songwriter, dancer and writer. She is credited with influencing the revival of teen pop during the late 1990s and early 2000s, for which she is referred to as the ""Princess of Pop"". Regarded as a pop icon, Spears has sold nearly 150 million records worldwide, including over 70 million solely in the United States, making her one of the world's best-selling music artists. <a href=""https://www.last.fm/music/Britney+Spears"">Read more on Last.fm</a>",5354265,337705716,"['Madonna', 'Christina Aguilera', 'Lindsay Lohan', 'Jennifer Lopez', 'Hilary Duff']"
Z.ieban.e TM,"Hip-Hop and G-Funk from Titovo Velenje, Slovenia. Lejga <a href=""https://www.last.fm/music/z.ieban.e+tm"">Read more on Last.fm</a>",79,5148,"['Tekochee Kru', 'Deep Cut Mcz', 'King & AP', 'Psiho-Brata', 'Valterap']"
Classified,"Classified attended Hants East Rural High in Milford, Nova Scotia. He started his own production label, Half Life Records, and released his first full length LP called Time's Up, Kid in 1995. After years of working on music and sorting through label contracts, Classified produced, recorded and released his ninth album, Trial & Error, and signed a nationwide distribution deal with Toronto-based, URBNET Records. Containing collaborations with up-and-coming Canadian artists like Eternia and DL Incognito <a href=""https://www.last.fm/music/Classified"">Read more on Last.fm</a>",190033,2685884,"['Brother Ali', 'SonReal', 'Snak the Ripper', 'Chris Webby', 'Merkules']"
Diana Krall,"
Diana Krall was born into a musical family in Nanaimo, British Columbia, Canada (on November 16, 1964). She began learning the piano at the age of four. In high school, she started playing in a small jazz group. At the age of fifteen, she started playing regularly in several Nanaimo restaurants. She also spent some time in Toronto studying with Canadian Jazz great, Don Thompson (Bass/Piano) and with the  support of the Canada Council for the Arts she moved to the U.S to continue studies and develop her career. <a href=""https://www.last.fm/music/Diana+Krall"">Read more on Last.fm</a>",1252942,23063385,"['Patricia Barber', 'Holly Cole', 'Cassandra Wilson', 'Jane Monheit', 'Melody Gardot']"
David Tao," <a href=""https://www.last.fm/music/+noredirect/David+Tao"">Read more on Last.fm</a>",24657,490227,[]
Statik Selektah,"Establishing his own spot amongst the ranks of East Coast hip-hop's seminal figures, DJ/producer Statik Selektah utilized his turntabling skills and ingenuity in PR and promotions to break some of the region's most promising artists, bearing his own influence on the national mixtape circuit. Born January 23, 1982 in Lawrence, MA, Patrick Baril was exposed to production equipment at a very early age, tinkering with his parents' eight-track machine, cassette recorders, and turntable. <a href=""https://www.last.fm/music/Statik+Selektah"">Read more on Last.fm</a>",279352,3705148,"['Termanology', 'Reks', 'Skyzoo', 'Swizz Beatz', 'Smoke DZA']"
Jan Garbarek,"Jan Garbarek (born March 4, 1947 in Mysen, Norway) a Norwegian tenor and soprano saxophonist, active in the jazz, classical, and world music genres. Garbarek was the only child of former Polish prisoner of war, Czesław Garbarek, and a Norwegian farmer's daughter. Garbarek grew up in Oslo. At 21, he married Vigdis. Their daughter Anja Garbarek is also a musician.

Garbarek's sound is one of the hallmarks of the ECM record label, which has released virtually all of his recordings. <a href=""https://www.last.fm/music/Jan+Garbarek"">Read more on Last.fm</a>",174374,2303526,"['Jan Garbarek Group', 'Terje Rypdal', 'John Surman', 'Mathias Eick', 'Manu Katché']"
J-Kwon,"J-Kwon (born Jarrell Jones in March 28, 1986) is a rapper from St. Louis, currently signed to Jermaine Dupri's So So Def Recordings. He is currently wrapping up his second album, Louisville Slugger.

2004-2005: Musical Beginnings

J-Kwon first got signed in a very odd and amusing way. He would continually mock who would be his main producer, Jermaine Dupri, who produced a majority of his first album, Hood Hop. Regardless, according to Dupri, J-Kwon was also signed because of his rapping skills. <a href=""https://www.last.fm/music/J-Kwon"">Read more on Last.fm</a>",441417,1793949,"['Chingy', 'Dem Franchize Boyz', 'MIMS', 'Ying Yang Twins', 'Ludacris']"
La Oreja de Van Gogh,"La Oreja de Van Gogh (English: Van Gogh's Ear) is a Spanish band. The name of the band references the Dutch painter Vincent Van Gogh who allegedly cut off his own ear. It was formed in Spain in 1996, when guitarist Pablo Benegas, bassist Álvaro Fuentes, keyboardist Xabi San Martín and drummer Haritz Garde met at university.

San Martin was the vocalist until Amaia Montero joined the band by request from Benegas, just after he met her at a dinner party. <a href=""https://www.last.fm/music/La+Oreja+de+Van+Gogh"">Read more on Last.fm</a>",547432,14941185,"['Amaia Montero', 'Amaral', 'La Quinta Estación', 'Nena Daconte', 'El Canto del Loco']"
Kate Ryan,"Kate Ryan (born Katrien Verbeeck on July 22, 1980) is a Belgian World Music Award winner. She began her singing career in 2001 and represented Belgium in the Eurovision Song Contest 2006 with ""Je t'adore"" coming in 12th place in the semi-final.

Ryan was born in the small village of Tessenderlo, Belgium. She grew up in a musical family, and had talent for music at a very early age. At eight years of age she had learned to play the piano and guitar. <a href=""https://www.last.fm/music/Kate+Ryan"">Read more on Last.fm</a>",453873,5398969,"['Sylver', 'September', 'Sash!', 'Da Buzz', 'Novaspace']"
Brian Simpson," A longtime studio musician, musical director, and touring keyboardist to stars as diverse as Janet Jackson and Dave Koz, Brian Simpson’s breakthrough as a solo artist with his Rendezvous Entertainment debut It’s All Good was the genre’s major story of 2006. Focusing once again on compelling acoustic piano melodies, bright jazz improvisations and spirited funk grooves, Simpson keeps the extraordinary momentum hopping--and, true to the moniker he chose for the new album, soaring--with Above The Clouds. <a href=""https://www.last.fm/music/Brian+Simpson"">Read more on Last.fm</a>",89529,952748,"['Paul Brown', 'Jonathan Fritzén', 'Brian Culbertson', 'Vincent Ingala', 'Gregg Karukas']"
Eric Marienthal,"After graduating high school in Southern California in 1976, Eric went on to study at the Berklee College of Music in Boston, Mass. There he studied with the legendary saxophone professor, Joe Viola. By the time he left Berklee, Eric had achieved the highest proficiency rating given by the school. In 1995, Eric was awarded the Berklee Distinguished Alumnus Award for outstanding achievements in contemporary music. He has since gone on to perform in over 65 different countries <a href=""https://www.last.fm/music/Eric+Marienthal"">Read more on Last.fm</a>",76593,591435,"['Peter White', 'Paul Brown', 'Jeff Golub', 'Richard Elliot', 'Nick Colionne']"
La Clinique," <a href=""https://www.last.fm/music/La+clinique"">Read more on Last.fm</a>",10931,139396,"['Passi', 'Fonky Family', 'Ärsenik', ""Shurik'n"", 'Busta Flex']"
Septima Raza,"Septima Raza is a rap/hip-hop group from Caracas, Venezuela. McKlopedia, Deza, IceOdc and McBlade established the group in 2003, they've been together since then. This same year they recorded their first album ""Positiva-mente"". After numerous experiences, interviews and concerts, the group recorded their second album title ""Septimientos"" with collaborations of several artists like ""AfuRa"", this album was launched in 2007. Right now the group is ready to make public their third production title ""Rebelion"".  <a href=""https://www.last.fm/music/Septima+Raza"">Read more on Last.fm</a>",329,4299,"['Guerrilla Seca', 'Cuarto Poder', 'Vagos Y Maleantes', 'La puta electrica', 'Cevladé']"
Sinne Eeg,"”A fully mature artist who dares to take chances, and succeeds with an instinctive feeling that lends credibility to everything she does.” - Boris Rabinowitsch, Politiken (Danish national daily newspaper) Sinne Eeg released Waiting For Dawn - her second album in her own name - in August 2007, four years after the release of her debut CD Sinne Eeg. Waiting For Dawn has stirred up a great deal of enthusiasm, both among critics and the listening public <a href=""https://www.last.fm/music/Sinne+Eeg"">Read more on Last.fm</a>",28034,183202,"['Cæcilie Norby', 'Stacey Kent', 'Halie Loren', 'Sara Gazarek', 'Sophie Milman']"
Apathy,"There are several artists titled Apathy.

1) Chad Bromley (born March 8, 1979), better known by his stage name Apathy (formerly ""The Alien Tongue""), is a rapper and producer from Willimantic, Connecticut.

His first major release was his debut album; Eastern Philosophy in March 2006 with guest appearances from Celph Titled, Ryu, and Blue Raspberry. His second album Wanna Snuggle? was released in 2009 and his third studio album Honkey Kong was released in 2011, both to critical acclaim. <a href=""https://www.last.fm/music/Apathy"">Read more on Last.fm</a>",171158,3032782,"['Celph Titled', 'Vinnie Paz', 'Army of the Pharaohs', 'Jedi Mind Tricks', 'Ill Bill']"
Nestor En Bloque," <a href=""https://www.last.fm/music/Nestor+En+Bloque"">Read more on Last.fm</a>",38894,370910,"['El Polaco', 'Agrupación Marilyn', 'Damas Gratis', 'La Base', 'Repiola']"
Moderatto,"Moderatto is a Mexican pop-rock group famous for their glamorous/ironic style of music.

They began playing in the mid-nineties in Mexico City, as a parody of the glamorous style of many 80's bands like Poison and Mötley Crüe; it began as a side project to the members' original bands, but eventually became quite popular among members of the Mexican alternative scene. With the coming to the mainstream of many underground interests, they became widely popular. <a href=""https://www.last.fm/music/Moderatto"">Read more on Last.fm</a>",133483,1778348,"['Motel', 'DLD', 'Allison', 'Aleks Syntek', 'Elefante']"
Rap Box," <a href=""https://www.last.fm/music/RAP+BOX"">Read more on Last.fm</a>",54479,459596,"['ADL', 'DJ Caique', 'Froid', 'Sant', 'Nocivo Shomon']"
Dessa,"Born Margaret Wander, Dessa’s first release with Doomtree, False Hopes, introduced a unique sensibility to underground hip-hop: literary, bitter-sweet, and wry. She alternated between a clever, droll persona as an emcee and her earnest, unaffected delivery as a singer with a low, clear alto voice. Her a cappella arrangements delicate and expressive, full of sad, old world harmonies. False Hopes attracted a varied set of ferociously dedicated fans in the Midwest and beyond. <a href=""https://www.last.fm/music/Dessa"">Read more on Last.fm</a>",122873,3408822,"['Doomtree', 'Sims', 'P.O.S.', 'Cecil Otter', 'Astronautalis']"
Heather Rigdon,"Texas-born, Nashville-based vocalist and songwriter, Heather Rigdon, is making her debut in the music world with the release of her new jazz-inflected album Young & Naïve.  The album, sparsely produced with piano, upright bass and drums allows Heather’s intimate, breathy vocals to shine. Several of Heather’s songs from the album are already showing up in feature films and  on television. “Table for Two” is featured in  “Trust the Man” <a href=""https://www.last.fm/music/Heather+Rigdon"">Read more on Last.fm</a>",28870,193003,"['Etta Jones', 'Jane Monheit', 'Emilie Schiøtt', 'Sophie Milman', 'Ann Hampton Callaway']"
SNJ,"No inicio da década de 90, no bairro Jd. Fortaleza situado no município de Guarulhos zona norte de São Paulo, surge o grupo de rap SNJ (Somos Nós a Justiça), formação que não se repercutiu por muito tempo, pelas dificuldades encontrada no cotidiano. Em 1995 surgiria uma nova formação a qual tinha cinco integrantes denominados como DJ Alex, Boca, Pele, WF e Sombra formação que também não deu certo pôr motivos pessoais e familiares. Problemas <a href=""https://www.last.fm/music/Snj"">Read more on Last.fm</a>",25144,250564,"['RZO', 'Ndee Naldinho', 'Realidade Cruel', '509-E', 'Consciência Humana']"
E-40,"Earl Stevens (born November 15, 1967 in Vallejo, California) is best known by his stage name E-40. Stevens is ""known"" by the new generation of hip-hop as a Hyphy rapper from the Bay Area of California. However, E-40 is also an old school veteran who has done collabos with rap icons such as Tupac Shakur, Too $hort, Lil' Jon, C-BO, Snoop Dogg, Spice 1, Richie Rich, Mac Dre, Mac Mall, The Luniz, The Outlawz, and many more.
E-40 is a self-proclaimed ""O. <a href=""https://www.last.fm/music/E-40"">Read more on Last.fm</a>",529104,6053411,"['B-Legit', 'Too $hort', 'Mac Dre', 'Keak Da Sneak', 'C-Bo']"
Tru-Paz,"With a MuchMusic Video Award nomination for the 2008 ""Best Rap Video"" of the year, five videos in rotation, four albums released on URBNET/Fontana, and concert bookings across the country, it is no wonder that Tru-Paz career is gaining recognition internationally.

The Tru-Paz collective consists of three members Boozie (Vocalist) Akim (Lyricist) and DJ Unknown  (Producer/DJ). Their sound is a distinct mixture of classic roots reggae,

RnB and hip-hop <a href=""https://www.last.fm/music/Tru-Paz"">Read more on Last.fm</a>",2494,15969,"['Zeph and Azeem', 'Theology 3', 'DL Incognito', 'Lateef & The Chief', 'Too Rude']"
Placebo,"There are at least four artists with the name Placebo:

1) Placebo is a British alternative rock band formed in London in 1994 by vocalist-guitarist Brian Molko and bassist-guitarist Stefan Olsdal. Drummer Robert Schultzberg joined in late 1994 but left in 1996 shortly after the release of the band's eponymous debut album due to conflicts with Molko. He was replaced the same year by Steve Hewitt. Molko was born in Belgium, and Olsdal and Schultzberg were born in Sweden. <a href=""https://www.last.fm/music/Placebo"">Read more on Last.fm</a>",3085304,222542054,"['Garbage', '30 Seconds to Mars', 'Muse', 'Interpol', 'Suede']"
Nilüfer,"Nilüfer (full name Nilüfer Yumlu) is a well-known Turkish pop singer. She was born on 31 May 1955 in Cihangir, Istanbul. At 15, she attended the singing competition Altın Ses Şarkı Yarışması, organized by the newspaper Hafta Sonu. She won the competition and became famous. 

Together with the band Nazar, she represented Turkey in the Eurovision Song Contest 1978, where she shared 18th place with Seija Simola from Finland. Since 1997 she has been Turkey's National Ambassador to UNICEF. <a href=""https://www.last.fm/music/+noredirect/Nil%C3%BCfer"">Read more on Last.fm</a>",96905,1723216,"['Ajda Pekkan', 'Sezen Aksu', 'Sertab Erener', 'Aşkın Nur Yengi', 'Ayten Alpman']"
Gavin DeGraw,"Gavin Shane DeGraw (born February 4, 1977) is an American singer-songwriter from South Fallsburg, New York. DeGraw began singing and playing piano at the age of eight and attended Berklee College of Music during the same year as artist John Mayer.

In 2001, DeGraw released his first album independently named Gavin Live.

In 2003, his first major studio album was released, entitled Chariot, on July 22nd. He released Chariot Stripped a year later, an album with the same songs, but the instruments brought down to a minimum. <a href=""https://www.last.fm/music/Gavin+DeGraw"">Read more on Last.fm</a>",1356970,18955317,"['Five for Fighting', 'Tyler Hilton', 'Matt Nathanson', 'Train', 'Howie Day']"
Brassmunk,"BrassMunk is a hip hop group formed in 1997 in Scarborough, Ontario. The group consists of musicians S-Roc, Clip, Agile and Reign.

Brassmunk released a number of independent singles in the late 1990s and early 2000s, and released their first EP, Dark Sunrise, in 2002 on 54th/Virgin Music Canada. The following year, Dark Sunrise was rereleased worldwide on Battleaxe Records as an LP, and included their previous independent releases. ""Dark Sunrise"" was nominated for Best Rap Recording at the 2004 Juno Awards. <a href=""https://www.last.fm/music/Brassmunk"">Read more on Last.fm</a>",1901,13317,"['Rascalz', 'Choclair', 'Maestro Fresh Wes', 'DJ Serious', 'Solitair']"
